City,Industry,Company Name,Company Type,Company Size,Job Title,Education level,Years of Industry Experience,Annual Base Salary,Compensation - Annual Target Bonus ($),Annual Target Bonus ($),Sign on Bonus Value,Relocation Assistance,Country,Overtime Rate,Year,Annual Equity,Retirement Benefits,Healthcare Benefits,Most recent annual yearly raise (%),Country,Where are you located?,US State,Canadian Province,Role type,Work from home days per week,Annual Target Bonus (%),Commission,Sign on Bonus,Sign on Equity Options,Years at current position,Currency,City_cleaned,State_inferred
nan,Industrial Biotech,Prefer not to say,Public,200-1000,Director,PhD or Equivalent,6,202500,,40000,7500,,,N/A (no overtime/salaried),2024,20000,5% match,employer pays part of premium,3000,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Lilly,Public,5000+,Associate,Bachelors or Equivalent,0,76000,,9000,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,"401K 6%, pension",not sure,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,QC Biochemist,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",5,92000,,6500,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,7% standard + up to 4% match ,,3.50%,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,0,,,Nan,
nan,Contract Manufacturing Organization,Forge Biologics,Private,200-1000,Scientist I,PhD or Equivalent,8,87000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Unsure,BCBS,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Diagnostics,Prefer not to say,Start-up,Jan-50,Staff Scientist,PhD or Equivalent,2,60000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,"they pay for health insurance 100%, about $450 per month",Company/Institution does not have annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,200-1000,Principal research associate ,Masters or Equivalent,4,120000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 4000$,,3.50%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Scientist,PhD or Equivalent,3,174000,,27840,,,,N/A (no overtime/salaried),2024,18000,"401k match 6%, pension","HSA, dental, vision",3.5,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Scientist II,PhD or Equivalent,2,125000,,12500,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,Will get 401k after series A,Generous subsidy on health dental and vision,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Prefer not to say,Public,50-200,Associate Scientist,Bachelors or Equivalent,10,105000,,7%,5000,,,N/A (no overtime/salaried),2024,"10,000 ISOs per year",50% match of employee contribution up to 8% / 4%,"60 / mo employee contribution for hmo, dental, vision",4.10%,,San Diego,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,200-1000,Associate Scientist II,Bachelors or Equivalent,4,83000,,7,,,,N/A (no overtime/salaried),2024,5,4% 401k match,$800 HSA contribution,6,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,200-1000,Metrology manager ,Bachelors or Equivalent,12,160000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k at 6%,,5,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Public,200-1000,Research Scientist,Masters or Equivalent,10,40000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,5% pension contribution with 10% employer ,,Have not been long enough to have an annual yearly raise,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Associate scientist ,Bachelors or Equivalent,7,86000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401K match 5%,,1%,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Technical Specialist,PhD or Equivalent,1,35000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,0,0,3,,United Kingdom and Ireland,,,,,,,,0,,,Nan,
nan,Contract Research Organization,Thermo Fisher,Subsidiary,1000-5000,Associate Scientist,Bachelors or Equivalent,3,52000,,Not Applicable/None,,,,1.5x,2024,Not Applicable/None,"%6 match, fully vested after 5 years",,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Government consulting ,Prefer not to say,Public,5000+,Associate / Consultant,PhD or Equivalent,6,165000,,Not Applicable/None,10000,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% match,Standard PPO + HSA ,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,5% saving on ESPP,,,Nan,
nan,Viral Clearance,Prefer not to say,Private,50-200,Lead Virology Specialist ,"High School or Equivalent, Associate’s Degree or Equivalent, Bachelors or Equivalent",4,70000,,Not Applicable/None,0,,,1.5x,2024,Not Applicable/None,6% match 401k,,5%,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,0,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,50-200,Postdoc ,PhD or Equivalent,2,80000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Available but not worth since on a work visa,"<$100 /month. Lab awarded grant pays for most of it, not Uni directly. PPO, dental, and vision ",5,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Associate Director Operations,Bachelors or Equivalent,18,137000,,27000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match up to 3%,0% deductible plan but also has options for high deductible plan with HSA. I pay 404 a month for family plan ,3,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,I did get stock options but they aren’t of value until the company goes public. ,,,Nan,
nan, Cell Therapy,Prefer not to say,Start-up,50-200,Scientist,PhD or Equivalent,1,135000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,6% 401k match,,Have not been long enough to have an annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Animal Health,Prefer not to say,Public,5000+,Scientific Officer,Bachelors or Equivalent,2,25000,,Not Applicable/None,,,,2x,2024,Not Applicable/None,18% Contribution,,5%,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Cannabis,Prefer not to say,Private,50-200,Laboratory Director,PhD or Equivalent,10,180000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% employee contribution,Poor medical plan ,Company/Institution does not have annual yearly raise,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Diagnostics Manufacturing,Zalgen Labs,Private,Jan-50,Manager of Manufacturing & QC,Bachelors or Equivalent,12,85000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% 401(k) match,Fully paid for gold level PPO ,Company/Institution does not have annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Manager,Masters or Equivalent,3,180000,,30000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,8% pension contribution,,4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,10000,,,Nan,
nan,Medical/Health Devices,qiagen,Private,5000+,Product development lead ,PhD or Equivalent,8,48000,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,10% pension contribution from employer ,Private healthcare for family,5%,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Government,5000+,Sr. Molecular Lab Technologist,Bachelors or Equivalent,7,110000,,Not Applicable/None,0,,,1.5X,2024,Not Applicable/None,pension,"total coverage on health insurance, cosmetic not covered",6,,"Pharma Central (NY, NJ, PA)",,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Senior Pharmaceutical Production Operations,Masters or Equivalent,1,50000,,4000,0,,,2x,2024,Not Applicable/None,Pension,Discount on insurance ,Minimum 4% increase with inflation but merit based raise also,,Netherlands ,,,,,,,,0,,,Nan,
nan,Government,AAFC,Government,5000+,Research Technician,Masters or Equivalent,8,83000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Defined benefit pension,Extended,4% per year + inflation,,Canada,,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,50-200,Scientist ,PhD or Equivalent,2,130000,,9000,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% 401k match,,2,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Research Associate ,PhD or Equivalent,6,50122,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,USS pension,,5,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,"High School or Equivalent, Bachelors or Equivalent",7,96000,,9600,30000,,,N/A (no overtime/salaried),2024,Not Applicable/None,0.5% 401k match up to 6% salary,,3%,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Medical/Health Devices,Illumina ,Public,5000+,Fermentation scientist ,Bachelors or Equivalent,8,81000,,Depends on year ,,,,1.5x,2024,Depends on year ,3,For a single person healthcare is $40-$82 per pay period dental and vision are $5 per pay period ,7,,"Midwest (From OH to KS, North to ND)",,,,,,,,10000 stocks vested over 4 years ,,,Nan,
nan,Academia/Research/Institution,Cincinnati Children’s Hospital,Academia/College/Universities,5000+,Research Assistant,Bachelors or Equivalent,3,51000,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,"New retirement plan, not all details know yet, expect they will not be matching like in pass.","HSA plans, $500 yearly deductibles.",20,,"Midwest (From OH to KS, North to ND)",,,,,,,,0,,,Nan,
nan,Academia/Research/Institution,Dana Faber Cancer Institute ,Academia/College/Universities,1000-5000,Research Tech,Bachelors or Equivalent,1,23.65,,Not Applicable/None,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,Don’t engage.,15 dollars for HMO,Have not been long enough to have an annual yearly raise,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,0,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,Jan-50,Sr. Scientist,PhD or Equivalent,1,130000,,130000,0,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% match,"Healthcare covered, anthem",3,,West Coast (California & Pacific Northwest),,,,,,,,0,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Private,5000+,Lab operations manager ,Masters or Equivalent,5,71000,,7000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,8% retirement fund,,Company/Institution does not have annual yearly raise,,Belgium ,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Scientist,Masters or Equivalent,7,103000,,10% Base salary,10000,,,N/A (no overtime/salaried),2024,$7500/yearly,401k match up to 4%,HMO,3%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,200-1000,Bioinformatic Scientist,PhD or Equivalent,12,110000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match ,,6%,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,200-1000,Quality Management Lead Discovery,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent",2,66000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,"Third pillar pension, 5% of monthly salary paid for by the company","Free for myself, optional for family. 25 euro for base plan, additional 20 euro for bulatory and dental included",Have not been long enough to have an annual yearly raise,,Belgium,,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Start-up,Jan-50,Scientist ,PhD or Equivalent,3,110000,,11000,0,,,N/A (no overtime/salaried),2024,10000,"No 401k match, no pension, good healthcare ",$180 monthly for family medical dental and vision coverage,5,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,"40,000",,,Nan,
nan,Medical/Health Devices,Prefer not to say,Start-up,50-200,Lab Operator,"Bachelors or Equivalent, Masters or Equivalent",1,34500,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Na,,Have not been long enough to have an annual yearly raise,,Belgium,,,,,,,,,,,Nan,
nan,Academia/Research/Institution,La Jolla Institute for Immunology ,Academia/College/Universities,200-1000,Post doctoral researcher,PhD or Equivalent,2,71000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,10% 401k match. Health insurance ,,3,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,Assistant Professor (non-TT),PhD or Equivalent,4,92000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,403b 5% match,great healthcare plan,2.5,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Agriculture,Prefer not to say,Private,5000+,Manager,PhD or Equivalent,11,155000,,18000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match 4%,,4,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Contract Manufacturing Organization,Avance Biosciences,Private,50-200,Laboratory Associate III,Bachelors or Equivalent,4,61000,,4880,,,,1.5x,2024,Not Applicable/None,401k 6% match,,Company/Institution does not have annual yearly raise,,"South & Mountain West (TX to AZ, North to MT)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Public,5000+,QC Technician,"High School or Equivalent, Bachelors or Equivalent",3,38675,,846,,,,2x base,2024,Not Applicable/None,1.5x pension match,Private healthcare,1.6,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Medical/Health Devices,Prefer not to say,Private,50-200,Analytical Scientist ,"High School or Equivalent, Bachelors or Equivalent",4,70000,,2000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% 401k match,,3,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Principal Scientist ,"High School or Equivalent, Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",9,85207,,8500,,,,N/A (no overtime/salaried),2024,Not sure of value,Pension,,Have not been long enough to have an annual yearly raise,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Contract Research Organization,Pharmaron,Public,5000+,Scientist II,Masters or Equivalent,2,35000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,10% pension contributions ,,2,,United Kingdom and Ireland,,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Start-up,Jan-50,Scientist ,"Bachelors or Equivalent, Masters or Equivalent, PhD or Equivalent",3,100000,,10000,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% match,Full coverage ,4%,,Canada,,,,,,,,,,,Nan,
nan,Industrial Biotech,Debut Biotech,Start-up,50-200,Research Associate II,Bachelors or Equivalent,3,72500,,10%,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k 6% match ,$56 per paycheck for $10 deductible HMO plan.,2%,,West Coast (California & Pacific Northwest),,,,,,,,100 shares ,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Start-up,Jan-50,Senior Research Associate,Bachelors or Equivalent,5,83000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Barely anything ,Full coverage for health care,Company/Institution does not have annual yearly raise,,West Coast (California & Pacific Northwest),,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Prefer not to say,Academia/College/Universities,5000+,professor ,PhD or Equivalent,15,225000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,3% fixed match 6% mandatory ,,10%,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,,,,Nan,
nan,Academia/Research/Institution,Jackson Lab,Private,1000-5000,Lab manager ,Masters or Equivalent,24,92000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,Match up to 5%,"~$200wk for decent health, vision and dental. ",4%,,"New England (MA, CT, RI, NH, VT, ME)",,,,,,,,,,,Nan,
nan,Big Pharmaceuticals,Prefer not to say,Public,5000+,Sr. Scientist,"High School or Equivalent, Bachelors or Equivalent, PhD or Equivalent",3,125000,,18000,20000,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k match %,,3,,"Pharma Central (NY, NJ, PA)",,,,,,,,,,,Nan,
nan,Multi-industry enzyme research,Prefer not to say,Private,1000-5000,Lab Technician II,"High School or Equivalent, Bachelors or Equivalent",4,68684,,4% base,,,,1.5x base,2024,Not Applicable/None,401k match 6%,"Maternal/paternal leave 16wks, HSA/FSA contributions, choice of PPO/HDHP/HMO through UHC",4% base,,"DC Metro Area (DC, VA, MD, DE)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,50-200,Scientist,PhD or Equivalent,1,87500,,8750,5000,,,N/A (no overtime/salaried),2024,Not Applicable/None,50% match,,3%,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Industrial Biotech,Prefer not to say,Private,200-1000,Scientist,PhD or Equivalent,4,95000,,Not Applicable/None,,,,N/A (no overtime/salaried),2024,Not Applicable/None,401k,,Have not been long enough to have an annual yearly raise,,"Midwest (From OH to KS, North to ND)",,,,,,,,,,,Nan,
nan,Contract Research Organization,Prefer not to say,Private,Jan-50,Research Radiochemist,Bachelors or Equivalent,4,56000,,"$20,000 ",0,,,N/A (no overtime/salaried),2024,Not Applicable/None,match up to 3% for 401k,"$5k in network deductible health insurance, dental and vision coverage. HSA with a $400/yr match",5%,,"Carolinas & Southeast (From NC to AR, South FL and LA)",,,,,,,,0,,,Nan,
